id,ürün,tahmin fiyat,ürün fiyatı,1_fiyat,2_fiyat,3_fiyat
480,Barbunya-kuru,27.414507,27.45,26.22,25.05,23.61
481,Bezelye-taze,53.639,53.8,50.75,47.17,45.23
482,Biber-yeşil,47.50031,47.25,45.21,42.8,41.08
483,Brüksel laha.,99.00119,103.66,98.63,93.77,90.1
484,Domates,14.666384,14.69,14.13,13.64,13.06
485,Enginar,41.236893,41.23,39.91,38.39,36.89
486,Fasulye-kuru,38.217503,38.48,36.81,34.94,33.49
487,Fasulye-taze,40.63059,40.81,39.43,37.6,35.72
488,Havuç,32.345757,32.48,31.22,29.1,27.01
489,Salatalık,16.943129,16.98,16.4,15.65,14.91
490,Ispanak,48.757103,48.69,47.02,44.51,42.19
491,Kabak,34.878727,34.66,33.1,31.13,29.7
492,Karnabahar,37.94252,37.63,36.34,34.29,32.64
493,Kereviz-baş,26.045183,26.12,24.66,23.32,22.24
494,Kırmızı-pancar,25.972046,26.0,24.68,23.66,22.22
495,Lahana,31.404675,31.47,29.89,28.13,26.46
496,Mantar,58.66529,59.12,56.83,53.78,51.39
497,Marul,26.417778,26.48,25.33,23.85,22.22
498,Mercimek-kuru,20.880484,20.8,19.87,18.85,17.93
499,Nohut,17.453804,17.35,17.03,16.41,15.63
500,Pancar,28.461174,28.29,26.97,25.36,24.28
501,Patates,13.423423,13.48,12.77,12.05,11.64
502,Patlıcan,35.312004,35.15,34.21,32.62,31.29
503,Pazı,8.200934,8.15,7.93,7.5,7.19
504,Pırasa,13.459003,13.48,12.87,12.27,11.85
505,Semizotu,11.184235,11.13,10.73,10.14,9.57
506,Buğday ekmeği,3.1470225,3.18,3.1,2.95,2.83
507,Bulgur,6.325505,6.37,6.02,5.74,5.44
508,Erişte,15.409101,15.38,14.79,14.21,13.57
509,Makarna,5.6905713,5.7,5.44,5.15,4.83
510,Mısır,8.670428,8.78,8.33,7.92,7.6
511,Mısır unu,43.85288,43.63,41.06,38.5,36.52
512,Nişasta,23.520073,23.4,22.45,21.21,20.44
513,Pilav,16.535158,16.44,15.82,15.09,14.31
514,Pirinç unu,28.255796,28.13,27.36,25.96,24.71
515,Şehriye,29.74859,29.92,28.48,27.03,25.64
516,Tarhana,15.904179,15.93,15.19,14.77,14.12
517,Yulaf unu,52.961006,52.59,50.57,47.51,45.15
518,yumurta,34.339405,34.46,33.32,31.96,30.37
519,beyaz peynir,58.896873,58.47,55.95,52.61,50.12
520,Kaşar peyniri,63.632,63.4,61.5,58.51,55.56
521,krema,30.153639,29.95,29.41,27.62,26.66
522,yoğurt,55.939106,56.81,53.55,50.24,47.52
523,sucuk,64.83118,64.59,61.94,58.4,55.5
524,salam,51.32344,51.27,49.24,48.01,45.46
525,sosis,51.80971,52.08,50.03,47.91,45.18
526,tam buğday ekmek,16.972345,17.04,16.28,15.45,14.43
527,kaymak,67.02926,67.89,63.72,60.45,57.69
528,bal,102.32624,114.6,108.32,102.91,98.94
529,tereyağ,87.67221,85.76,81.9,77.88,73.9
530,Armut,17.436743,17.5,16.72,16.17,15.55
531,Çilek,20.92766,20.89,20.0,19.29,18.12
532,Elma,28.159082,28.18,26.79,25.67,24.34
533,Erik türleri,36.718845,36.83,34.88,32.99,31.45
534,İncir,17.934788,17.83,17.16,16.01,15.25
535,Karadut,22.15557,22.11,21.09,19.75,18.7
536,Karpuz,25.23315,25.29,24.34,23.04,21.81
537,Kavun,29.06023,28.79,27.51,25.85,24.54
538,Kayısı,16.986002,16.99,16.37,15.58,14.8
539,Kiraz,21.346045,21.25,20.56,19.45,18.49
540,Limon,11.560655,11.6,11.11,10.63,9.96
541,Mandalina,14.900169,14.94,14.34,13.67,12.79
542,Muz,35.1536,34.97,33.52,31.79,30.48
543,Nar,34.9379,34.93,33.21,31.73,29.94
544,Portakal,17.676441,17.62,16.8,15.81,14.86
545,Şeftali,19.888247,19.72,19.3,18.3,17.58
546,Üzüm,21.132555,21.05,20.41,19.29,18.3
547,Vişne,16.00895,15.95,15.4,14.68,14.13
548,fındık,63.26437,63.14,60.87,57.85,54.6
549,fıstık,66.726265,67.99,65.39,61.89,58.95
550,kaju,60.76885,61.5,59.19,56.38,53.54
551,badem,64.125275,65.18,62.55,59.44,56.0
552,ceviz,71.86304,71.26,69.26,65.57,63.34
553,kıyma,148.91916,140.22,133.52,127.19,118.1
554,tavuk,44.346626,44.46,42.48,40.13,38.92
555,hindi,46.323082,46.59,44.66,42.28,39.97
556,Bakla-kuru,27.476091,27.36,26.36,24.8,23.68
557,Bakla-taze,55.518936,55.45,53.2,49.96,47.07
558,Bamya,20.648779,20.66,19.94,19.04,18.02
559,Barbunya-kuru,26.996199,26.78,26.04,24.72,23.42
560,Bezelye-taze,50.219513,49.92,47.32,45.29,43.43
561,Biber-yeşil,52.142124,52.19,49.35,47.15,44.44
562,Brüksel laha.,100.00722,95.91,92.01,87.42,83.41
563,Domates,17.519226,17.42,16.9,15.94,15.19
564,Enginar,46.350246,46.53,44.54,42.74,40.71
565,Fasulye-kuru,38.01414,37.71,36.25,34.37,32.44
566,Fasulye-taze,34.38269,34.38,32.74,31.12,29.43
567,Havuç,37.503452,37.54,35.86,34.38,33.04
568,Salatalık,14.842383,14.74,14.22,13.37,12.7
569,Ispanak,45.51205,45.91,44.6,42.63,41.0
570,Kabak,34.80541,34.67,33.73,32.22,31.07
571,Karnabahar,34.63757,34.53,33.11,31.63,30.11
572,Kereviz-baş,27.753294,27.68,26.35,25.31,24.38
573,Kırmızı-pancar,25.432499,25.41,24.22,23.3,22.24
574,Lahana,28.266018,28.19,27.4,25.91,24.47
575,Mantar,54.624916,54.73,51.87,49.37,47.41
576,Marul,23.480112,23.28,22.64,21.54,20.52
577,Mercimek-kuru,22.69201,22.76,21.65,20.7,19.48
578,Nohut,17.521673,17.41,16.78,15.82,15.06
579,Pancar,27.001339,27.04,25.96,24.4,23.06
580,Patates,12.9182005,12.78,12.51,11.75,11.35
581,Patlıcan,29.224182,29.25,28.07,26.55,24.91
582,Pazı,8.348488,8.42,8.02,7.58,7.28
583,Pırasa,11.457495,11.47,11.11,10.74,10.42
584,Semizotu,9.9495945,9.92,9.49,8.87,8.55
585,Buğday ekmeği,3.2776442,3.33,3.22,3.05,2.95
586,Bulgur,6.202336,6.22,5.95,5.69,5.39
587,Erişte,12.981102,13.0,12.46,11.75,11.37
588,Makarna,6.363047,6.4,6.13,5.79,5.4
589,Mısır,8.54281,8.52,8.38,8.01,7.61
590,Mısır unu,50.704082,51.41,48.7,46.39,44.43
591,Nişasta,22.04787,22.06,21.02,20.13,18.87
592,Pilav,16.798542,16.85,16.15,15.16,14.24
593,Pirinç unu,31.746206,31.59,30.75,28.54,27.52
594,Şehriye,29.49856,29.53,28.38,26.82,25.43
595,Tarhana,13.490471,13.55,12.87,12.19,11.65
596,Yulaf unu,56.111523,56.79,54.04,52.19,50.43
597,yumurta,31.47724,31.17,30.0,28.01,26.41
598,beyaz peynir,58.78039,59.34,56.87,54.35,51.55
599,Kaşar peyniri,67.44554,67.04,65.03,60.26,57.98
600,krema,41.71332,42.05,40.02,38.15,36.44
601,yoğurt,56.92662,57.01,54.26,51.03,49.1
602,sucuk,67.757576,68.18,65.32,62.03,59.8
603,salam,46.07749,46.01,44.01,41.9,40.24
604,sosis,49.814766,49.34,47.63,44.8,42.69
605,tam buğday ekmek,15.746726,15.75,15.05,14.28,13.71
606,kaymak,65.83771,65.98,62.81,60.73,58.43
607,bal,100.98288,96.84,93.98,90.5,87.05
608,tereyağ,67.90529,66.77,64.38,60.32,57.52
609,Armut,16.048231,16.07,15.33,14.51,13.76
610,Çilek,18.668623,18.63,18.1,17.27,16.64
611,Elma,25.198494,25.31,24.39,23.54,22.09
612,Erik türleri,30.967724,30.64,29.81,27.56,26.26
613,İncir,15.375374,15.45,14.72,14.04,13.24
614,Karadut,22.778648,22.82,21.8,20.86,19.83
615,Karpuz,24.435171,24.38,23.72,22.66,21.53
616,Kavun,30.007587,29.79,28.61,26.97,25.92
617,Kayısı,16.09263,15.93,15.39,14.2,13.45
618,Kiraz,22.303316,22.24,21.43,20.29,19.38
619,Limon,11.28524,11.31,10.77,10.2,9.78
620,Mandalina,11.381984,11.37,11.05,10.74,10.18
621,Muz,33.3335,33.16,32.18,30.65,29.07
622,Nar,30.294403,30.03,29.26,27.7,26.31
623,Portakal,19.2568,19.1,18.64,17.56,16.76
624,Şeftali,22.534088,22.38,21.48,20.3,19.08
625,Üzüm,18.104092,18.13,17.48,16.81,16.02
626,Vişne,16.925076,17.08,16.04,15.2,14.36
627,fındık,55.102573,54.57,52.5,49.7,47.18
628,fıstık,62.07837,62.27,59.42,57.46,55.41
629,kaju,81.359215,78.98,75.32,71.45,67.91
630,badem,64.039055,63.44,60.62,57.29,54.86
631,ceviz,79.146065,78.2,74.6,68.99,65.29
632,kıyma,122.2779,121.48,114.75,110.42,105.93
633,tavuk,42.75436,42.83,41.56,39.35,36.95
634,hindi,50.094765,50.16,48.15,45.35,42.51
635,Bakla-kuru,26.284752,26.27,25.35,23.92,23.03
636,Bakla-taze,53.64404,53.73,51.57,49.22,46.38
637,Bamya,20.060394,20.0,19.29,18.34,17.37
638,Barbunya-kuru,23.989826,24.0,23.16,22.12,20.82
639,Bezelye-taze,57.219063,56.84,54.47,51.89,49.38
640,Biber-yeşil,47.279675,47.13,45.34,43.49,41.72
641,Brüksel laha.,102.534454,107.16,102.92,97.68,91.88
642,Domates,15.90564,15.97,15.04,14.31,13.58
643,Enginar,47.65848,47.33,44.83,43.04,40.38
644,Fasulye-kuru,41.65844,41.55,39.59,37.79,35.73
645,Fasulye-taze,44.371315,44.2,42.11,40.74,38.83
646,Havuç,33.749954,33.89,32.45,31.16,29.5
647,Salatalık,14.724592,14.67,14.13,13.32,12.66
648,Ispanak,51.92628,52.37,49.96,46.93,44.22
649,Kabak,36.958378,36.82,35.24,33.86,32.55
650,Karnabahar,30.842539,30.8,29.79,28.81,27.51
651,Kereviz-baş,24.622616,24.46,23.33,22.29,21.13
652,Kırmızı-pancar,25.383596,25.36,24.21,22.91,21.92
653,Lahana,31.951878,32.15,30.76,29.18,27.5
654,Mantar,51.82395,51.92,49.55,47.1,44.14
655,Marul,23.675665,23.66,22.61,21.15,20.11
656,Mercimek-kuru,19.098997,19.1,18.24,17.01,15.98
657,Nohut,17.039032,16.83,16.56,15.54,14.8
658,Pancar,29.164047,29.23,28.08,26.6,25.46
659,Patates,12.208318,12.34,11.61,11.04,10.43
660,Patlıcan,37.082684,37.02,36.0,34.1,31.93
661,Pazı,8.627757,8.63,8.28,7.95,7.52
662,Pırasa,12.044399,12.07,11.53,11.09,10.48
663,Semizotu,10.647678,10.62,10.24,9.67,9.25
664,Buğday ekmeği,3.4126923,3.49,3.36,3.17,2.99
665,Bulgur,6.5258417,6.53,6.26,5.98,5.7
666,Erişte,13.142219,13.11,12.74,12.25,11.75
667,Makarna,6.9889374,6.96,6.68,6.21,5.87
668,Mısır,9.539437,9.57,9.13,8.69,8.28
669,Mısır unu,51.51114,51.05,49.23,47.09,45.25
670,Nişasta,23.049292,23.07,22.04,21.18,19.75
671,Pilav,17.58947,17.52,17.07,16.29,15.5
672,Pirinç unu,29.732609,29.64,28.62,27.0,25.78
673,Şehriye,25.725576,25.7,24.66,23.56,22.21
674,Tarhana,16.05865,16.07,15.31,14.66,14.09
675,Yulaf unu,48.278103,47.89,46.34,43.96,41.67
676,yumurta,28.973858,28.87,27.68,26.08,24.87
677,beyaz peynir,59.349293,59.43,57.74,54.83,53.06
678,Kaşar peyniri,72.79962,72.05,69.02,65.76,63.82
679,krema,31.593393,31.58,30.09,28.9,27.35
680,yoğurt,53.62591,53.4,50.4,48.62,46.64
681,sucuk,71.79693,71.21,68.75,65.74,62.5
682,salam,46.231613,45.97,44.28,41.76,39.76
683,sosis,56.060383,55.92,53.38,50.59,48.49
684,tam buğday ekmek,16.267117,16.29,15.63,14.99,14.07
685,kaymak,66.41561,67.11,64.13,60.5,57.04
686,bal,101.77987,101.26,96.84,90.19,83.99
687,tereyağ,74.25324,73.42,70.83,67.4,63.21
688,Armut,14.637943,14.67,14.06,13.33,12.56
689,Çilek,22.676828,22.57,21.71,20.6,19.33
690,Elma,22.220583,22.2,21.07,19.75,18.68
691,Erik türleri,29.530638,29.63,28.08,26.25,24.94
692,İncir,19.359426,19.36,18.7,17.8,16.96
693,Karadut,22.092274,22.01,21.13,19.66,19.03
694,Karpuz,27.403975,27.56,26.24,24.97,23.7
695,Kavun,26.962494,26.91,25.87,24.36,23.15
696,Kayısı,16.765093,16.78,16.08,15.6,14.84
697,Kiraz,19.876822,19.88,19.11,18.28,17.35
698,Limon,12.997557,13.06,12.46,11.82,11.15
699,Mandalina,11.924856,11.93,11.38,10.75,10.26
700,Muz,31.656044,31.62,30.66,29.14,27.94
701,Nar,32.652836,32.63,30.95,29.35,27.85
702,Portakal,19.28527,19.34,18.21,17.23,16.17
703,Şeftali,22.054565,22.02,21.21,19.99,18.84
704,Üzüm,20.805061,20.74,19.87,18.87,18.03
705,Vişne,17.458143,17.32,16.64,15.56,14.76
706,fındık,57.901505,58.07,56.43,53.65,50.72
707,fıstık,58.589386,58.28,55.54,52.93,50.49
708,kaju,65.338745,66.16,64.32,61.61,58.63
709,badem,66.38037,66.16,63.03,60.47,57.39
710,ceviz,73.53277,73.19,70.6,67.3,64.67
711,kıyma,155.61426,148.05,144.0,135.26,126.18
712,tavuk,51.91047,52.08,49.9,47.5,44.57
713,hindi,49.964035,49.52,47.5,44.43,41.8
714,Bakla-kuru,30.958853,30.86,29.59,28.77,27.16
715,Bakla-taze,58.876534,58.56,57.11,54.37,52.59
716,Bamya,18.841034,18.89,18.12,17.53,16.61
717,Barbunya-kuru,26.418215,26.46,25.65,24.56,22.81
718,Bezelye-taze,51.822716,51.09,49.23,45.96,43.04
719,Biber-yeşil,49.24705,48.72,46.45,43.4,41.38
720,Brüksel laha.,101.66689,97.96,93.23,87.67,82.32
721,Domates,17.707537,17.67,16.8,15.73,15.06
722,Enginar,39.709846,39.87,38.63,37.1,35.54
723,Fasulye-kuru,39.59873,39.38,37.64,35.86,34.49
724,Fasulye-taze,34.308098,34.35,32.8,31.21,29.28
725,Havuç,35.2964,35.45,33.87,32.31,30.03
726,Salatalık,17.539608,17.52,16.8,16.35,15.8
727,Ispanak,49.67201,49.8,47.16,44.55,42.29
728,Kabak,34.773895,34.64,33.14,31.45,29.68
729,Karnabahar,38.682312,38.29,36.87,34.54,32.82
730,Kereviz-baş,25.167183,25.15,24.01,23.04,22.0
731,Kırmızı-pancar,25.077654,25.19,24.11,22.94,22.0
732,Lahana,28.47418,28.27,26.89,25.56,24.04
733,Mantar,57.27725,56.63,54.52,50.94,48.7
734,Marul,22.812971,22.78,22.31,21.32,20.41
735,Mercimek-kuru,21.378155,21.26,20.7,19.71,18.84
736,Nohut,20.609682,20.61,19.81,18.96,17.74
737,Pancar,26.835548,26.84,25.64,24.13,23.18
738,Patates,11.572644,11.59,11.09,10.6,10.2
739,Patlıcan,31.043118,30.65,29.6,27.38,25.84
740,Pazı,8.661521,8.72,8.29,7.89,7.53
741,Pırasa,12.448089,12.41,11.87,11.16,10.41
742,Semizotu,10.252435,10.3,9.96,9.46,9.03
743,Buğday ekmeği,2.9880667,3.01,2.84,2.73,2.63
744,Bulgur,6.161089,6.18,5.84,5.55,5.25
745,Erişte,13.791422,13.81,13.27,12.64,12.13
746,Makarna,7.1713314,7.2,6.84,6.49,6.12
747,Mısır,9.502376,9.52,9.08,8.63,8.21
748,Mısır unu,53.039944,52.57,50.91,47.73,44.9
749,Nişasta,21.09204,21.16,20.31,19.68,18.75
750,Pilav,15.536347,15.55,14.97,14.02,13.4
751,Pirinç unu,27.723932,27.85,26.27,25.26,24.01
752,Şehriye,30.257986,30.32,29.08,27.8,26.61
753,Tarhana,14.206981,14.21,13.7,13.28,12.74
754,Yulaf unu,47.48497,47.6,45.8,43.43,41.65
755,yumurta,29.641695,29.68,28.05,26.62,25.15
756,beyaz peynir,60.478268,60.15,56.99,53.8,51.98
757,Kaşar peyniri,66.27737,66.73,64.77,61.24,58.75
758,krema,38.305832,38.58,36.73,34.7,32.73
759,yoğurt,53.58825,54.28,52.02,49.52,46.94
760,sucuk,67.23722,68.09,64.87,61.01,57.67
761,salam,53.71576,54.37,51.31,47.61,45.63
762,sosis,53.53916,53.81,51.85,49.42,47.27
763,tam buğday ekmek,17.666985,17.65,16.92,16.1,15.24
764,kaymak,65.44078,65.44,62.57,58.28,55.75
765,bal,107.87797,99.45,96.57,91.36,87.85
766,tereyağ,84.72555,81.01,78.29,73.96,71.17
767,Armut,16.733906,16.73,15.95,15.13,14.25
768,Çilek,19.022942,18.97,18.18,17.54,16.7
769,Elma,24.420855,24.52,23.27,21.92,20.81
770,Erik türleri,30.83615,30.97,29.58,28.05,26.47
771,İncir,19.150862,19.15,18.42,17.71,16.72
772,Karadut,23.07007,23.17,22.11,20.74,19.74
773,Karpuz,24.159569,24.02,23.13,21.94,20.95
774,Kavun,31.900105,32.07,30.76,29.43,27.61
775,Kayısı,17.317257,17.3,16.56,15.83,15.0
776,Kiraz,18.253391,18.23,17.43,16.74,16.21
777,Limon,11.5449705,11.5,11.14,10.64,10.21
778,Mandalina,11.476157,11.48,11.03,10.44,9.98
779,Muz,34.500347,34.36,32.83,30.71,29.41
780,Nar,33.914238,34.05,32.29,31.19,29.98
781,Portakal,19.596155,19.67,18.56,17.74,16.8
782,Şeftali,20.814308,20.74,20.1,19.1,18.37
783,Üzüm,20.851103,20.9,19.92,18.99,18.23
784,Vişne,17.750557,17.76,17.2,16.49,15.77
785,fındık,64.27739,63.97,61.52,59.15,57.39
786,fıstık,65.161736,64.75,61.27,58.69,55.64
787,kaju,60.90685,60.85,58.69,57.26,54.61
788,badem,66.665016,66.72,63.89,60.51,56.57
789,ceviz,82.85634,79.02,76.5,72.64,68.61
790,kıyma,123.07206,124.7,119.65,113.71,108.44
791,tavuk,45.72116,45.37,43.75,42.01,39.45
792,hindi,52.508125,52.44,50.66,48.92,46.64
793,Bakla-kuru,30.248522,30.06,29.34,27.58,26.1
794,Bakla-taze,57.959675,57.26,54.55,51.05,48.51
795,Bamya,21.491024,21.51,20.61,19.61,18.61
796,Barbunya-kuru,29.054052,29.06,28.02,26.58,24.93
797,Bezelye-taze,50.72532,50.78,48.2,45.36,43.47
798,Biber-yeşil,46.362984,46.33,44.47,41.88,40.2
799,Brüksel laha.,86.4741,87.17,83.89,79.49,75.43
800,Domates,16.294994,16.23,15.61,14.8,14.14
801,Enginar,46.40338,46.35,44.29,42.12,39.93
802,Fasulye-kuru,37.47312,37.53,36.07,34.06,32.36
803,Fasulye-taze,38.041805,38.11,36.63,34.73,33.64
804,Havuç,35.33022,35.34,33.93,31.7,29.92
805,Salatalık,17.52657,17.45,16.87,15.77,15.07
806,Ispanak,52.36461,52.53,49.75,47.49,45.86
807,Kabak,31.470377,31.57,30.29,29.16,27.86
808,Karnabahar,32.944847,32.78,31.65,30.28,29.28
809,Kereviz-baş,23.266047,23.3,22.52,21.63,20.39
810,Kırmızı-pancar,23.392202,23.36,22.44,21.33,20.38
811,Lahana,36.11662,35.76,34.58,32.53,31.12
812,Mantar,56.804043,56.46,55.17,52.09,48.58
813,Marul,29.128515,29.05,27.7,25.82,24.62
814,Mercimek-kuru,20.07338,19.92,19.35,18.41,17.42
815,Nohut,21.121851,21.01,19.98,18.92,18.0
816,Pancar,27.181458,26.81,26.32,24.79,23.69
817,Patates,11.812957,11.72,11.47,10.87,10.44
818,Patlıcan,32.0452,31.93,30.97,29.56,28.08
819,Pazı,7.569299,7.56,7.32,7.02,6.7
820,Pırasa,12.8232355,12.79,12.35,11.68,11.18
821,Semizotu,10.628381,10.57,10.24,9.61,9.25
822,Buğday ekmeği,3.1610868,3.26,3.13,2.97,2.8
823,Bulgur,5.443066,5.47,5.24,4.96,4.76
824,Erişte,13.884787,13.77,13.34,12.69,12.24
825,Makarna,6.722192,6.73,6.51,6.22,5.9
826,Mısır,9.204656,9.17,8.91,8.53,8.21
827,Mısır unu,53.727898,53.75,51.46,49.2,46.85
828,Nişasta,20.460669,20.5,19.45,18.89,18.29
829,Pilav,15.864295,15.91,15.21,14.58,13.84
830,Pirinç unu,27.48911,27.58,26.87,25.69,24.48
831,Şehriye,27.093699,26.99,26.13,24.82,23.51
832,Tarhana,16.566984,16.56,15.75,14.89,14.07
833,Yulaf unu,49.109734,49.31,46.95,44.75,42.48
834,yumurta,28.75307,28.84,27.79,26.41,25.22
835,beyaz peynir,61.269524,61.32,59.25,56.04,53.22
836,Kaşar peyniri,65.05601,65.16,62.55,59.56,56.75
837,krema,35.82387,35.81,34.16,32.93,31.23
838,yoğurt,55.149094,55.06,53.14,50.56,47.23
839,sucuk,63.926586,63.6,60.88,57.31,53.51
840,salam,47.862648,47.27,46.1,43.62,41.02
841,sosis,56.33464,56.5,53.3,50.65,47.0
842,tam buğday ekmek,17.21496,17.17,16.3,15.33,14.49
843,kaymak,71.238785,71.23,68.99,65.62,61.87
844,bal,104.48909,110.37,104.98,99.69,95.08
845,tereyağ,80.40555,79.24,76.37,72.63,69.48
846,Armut,18.518717,18.46,17.79,17.08,16.46
847,Çilek,21.101976,21.1,20.05,19.07,18.23
848,Elma,25.711239,25.68,24.68,23.49,22.37
849,Erik türleri,30.436666,30.39,29.46,28.1,26.84
850,İncir,15.932105,15.92,15.31,14.6,13.88
851,Karadut,23.071995,23.1,22.07,21.15,20.36
852,Karpuz,27.700521,27.51,26.31,24.4,22.77
853,Kavun,31.118837,31.07,29.74,28.35,26.78
854,Kayısı,17.087929,16.93,16.32,15.3,14.58
855,Kiraz,19.526014,19.53,18.66,17.72,17.09
856,Limon,11.61423,11.59,11.17,10.6,9.99
857,Mandalina,12.393513,12.37,11.78,11.42,10.82
858,Muz,33.918118,33.91,32.16,30.34,29.44
859,Nar,33.497826,33.63,31.86,30.56,29.04
860,Portakal,15.448826,15.44,14.83,14.09,13.33
861,Şeftali,20.742325,20.68,19.78,18.7,17.73
862,Üzüm,18.597904,18.56,17.97,17.34,16.54
863,Vişne,16.522251,16.57,15.72,14.97,13.99
864,fındık,65.18371,66.12,61.77,59.36,56.11
865,fıstık,60.50216,60.7,58.94,55.95,53.5
866,kaju,67.82413,67.74,64.43,61.56,57.88
867,badem,67.17633,67.19,63.64,60.96,58.37
868,ceviz,90.1494,86.88,83.45,79.09,74.56
869,kıyma,145.62132,138.35,133.33,124.06,117.98
870,tavuk,47.91225,48.06,45.7,43.55,41.08
871,hindi,47.228184,46.59,44.79,42.14,40.42
872,Bakla-kuru,34.622105,34.57,33.21,31.87,30.16
873,Bakla-taze,56.038326,56.03,53.21,51.02,48.68
874,Bamya,17.883677,17.92,17.11,16.22,15.29
875,Barbunya-kuru,22.973944,23.06,22.13,21.11,20.26
876,Bezelye-taze,49.094814,49.22,47.19,44.39,42.64
877,Biber-yeşil,51.772594,51.82,49.53,47.02,44.24
878,Brüksel laha.,106.287865,110.62,105.48,100.0,94.84
879,Domates,17.533016,17.51,16.91,16.09,15.46
880,Enginar,42.608868,42.48,40.76,38.0,36.16
881,Fasulye-kuru,40.654503,40.34,38.28,35.77,33.9
882,Fasulye-taze,41.14491,41.22,39.42,37.27,35.55
883,Havuç,34.68727,34.58,33.38,30.93,29.15
884,Salatalık,17.756546,17.72,16.92,15.87,15.0
885,Ispanak,50.14104,50.53,48.61,46.02,43.72
886,Kabak,35.59123,35.81,34.0,32.29,30.33
887,Karnabahar,34.090084,34.05,32.84,31.19,29.72
888,Kereviz-baş,26.818104,26.72,25.79,24.51,23.15
889,Kırmızı-pancar,24.471054,24.57,23.12,21.88,20.91
890,Lahana,30.957647,30.88,29.28,27.58,25.49
891,Mantar,52.72355,53.04,51.37,48.43,45.78
892,Marul,23.703487,23.68,22.99,21.93,20.8
893,Mercimek-kuru,19.696373,19.67,18.78,18.21,17.34
894,Nohut,19.951534,19.98,18.96,17.98,16.85
895,Pancar,31.966665,32.01,30.15,28.55,26.91
896,Patates,12.892347,12.87,12.3,11.78,11.43
897,Patlıcan,33.62638,33.52,32.25,30.99,29.42
898,Pazı,9.774058,9.89,9.33,8.78,8.19
899,Pırasa,12.445641,12.4,11.98,11.42,10.83
900,Semizotu,9.560973,9.63,9.18,8.69,8.25
901,Buğday ekmeği,3.4388623,3.5,3.36,3.19,3.02
902,Bulgur,6.405237,6.36,6.16,5.86,5.55
903,Erişte,16.845543,16.86,15.94,15.08,14.21
904,Makarna,6.550228,6.57,6.24,5.89,5.5
905,Mısır,8.152643,8.21,7.76,7.35,7.01
906,Mısır unu,50.92586,50.55,48.88,46.29,43.33
907,Nişasta,19.07026,19.11,18.3,17.39,16.83
908,Pilav,16.654211,16.65,15.99,15.26,14.72
909,Pirinç unu,32.245228,32.36,31.16,29.71,27.96
910,Şehriye,26.007727,26.02,24.73,23.4,22.36
911,Tarhana,14.920832,14.97,14.24,13.47,12.83
912,Yulaf unu,52.62752,52.35,50.79,47.85,45.66
913,yumurta,32.855854,32.85,31.64,29.37,27.9
914,beyaz peynir,58.3434,58.68,56.79,54.29,51.82
915,Kaşar peyniri,64.52172,65.03,62.49,58.26,55.8
916,krema,30.786829,30.82,29.78,28.58,27.41
917,yoğurt,54.407738,54.47,51.41,49.04,46.09
918,sucuk,65.00101,65.2,63.59,60.43,56.56
919,salam,52.78535,52.71,50.66,48.07,45.86
920,sosis,46.227757,46.37,44.41,42.5,40.62
921,tam buğday ekmek,16.444908,16.34,15.9,15.07,14.39
922,kaymak,66.50203,66.62,64.91,61.51,58.61
923,bal,101.67222,109.21,104.59,99.92,96.43
924,tereyağ,72.79239,69.68,66.05,62.36,59.08
925,Armut,18.1563,18.05,17.56,16.61,15.76
926,Çilek,24.210081,24.2,23.16,22.16,21.07
927,Elma,23.893518,23.95,22.76,21.64,20.61
928,Erik türleri,29.143923,29.09,27.94,26.74,25.64
929,İncir,19.344603,19.23,18.33,17.22,16.48
930,Karadut,26.905094,27.01,25.61,24.37,23.02
931,Karpuz,27.965427,27.8,26.9,25.52,24.02
932,Kavun,31.378197,31.44,29.88,28.16,26.77
933,Kayısı,14.921289,14.91,14.35,13.65,12.9
934,Kiraz,25.708424,25.78,24.68,23.66,21.85
935,Limon,12.216674,12.13,11.75,11.16,10.55
936,Mandalina,13.3773365,13.35,12.85,12.19,11.52
937,Muz,35.090164,35.12,33.75,32.05,30.64
938,Nar,32.06551,32.0,31.03,29.57,27.94
939,Portakal,18.46711,18.36,17.7,16.6,15.73
940,Şeftali,21.061653,21.06,20.42,19.56,18.75
941,Üzüm,23.618544,23.63,22.42,21.27,20.27
942,Vişne,17.654032,17.57,16.89,15.89,14.95
943,fındık,61.782696,61.98,59.54,56.78,54.18
944,fıstık,57.861454,57.3,54.7,51.61,48.22
945,kaju,66.837,66.57,64.16,61.6,58.52
946,badem,62.49941,61.54,59.04,55.67,53.0
947,ceviz,90.087456,86.51,83.31,78.94,74.26
948,kıyma,130.23615,141.41,134.51,127.86,121.38
949,tavuk,45.027973,45.04,43.01,41.64,39.09
950,hindi,51.258472,50.69,49.44,46.12,43.23
951,Bakla-kuru,29.859755,29.85,28.62,27.19,26.03
952,Bakla-taze,51.611637,51.87,50.1,47.9,45.28
953,Bamya,21.476892,21.5,20.56,19.59,18.24
954,Barbunya-kuru,26.153664,26.21,24.57,23.69,22.5
955,Bezelye-taze,51.98392,51.85,49.39,46.32,43.18
956,Biber-yeşil,60.036663,59.77,57.04,54.1,52.06
957,Brüksel laha.,95.030136,94.59,90.39,84.73,80.04
958,Domates,15.728348,15.67,15.2,14.44,13.89
959,Enginar,45.779926,45.7,43.34,41.23,39.73
960,Fasulye-kuru,38.05955,37.64,36.26,34.19,32.5
